x	y1	y2	y3	y4	y5	y6
0.39867	0.8201	0.56379	0.43338	0.44746	0.0964	0.09992
0.40104	0.81961	0.55436	0.43395	0.44669	0.09588	0.09939
0.40287	0.81914	0.55538	0.43416	0.44588	0.09506	0.09827
0.40727	0.81764	0.56963	0.43419	0.44318	0.09161	0.09351
0.41282	0.81696	0.59451	0.43373	0.43805	0.08364	0.08453
0.41297	0.81697	0.59517	0.43371	0.43788	0.08334	0.08425
0.41389	0.81708	0.59908	0.4336	0.4368	0.08141	0.08257
0.4149	0.81729	0.60328	0.43347	0.43551	0.07903	0.08065
0.41709	0.81808	0.61194	0.43315	0.43236	0.07336	0.07645
0.42168	0.82043	0.62945	0.43234	0.42385	0.06412	0.06779
0.42503	0.82224	0.64286	0.43165	0.41646	0.06069	0.06219
0.42882	0.82438	0.66147	0.43074	0.40837	0.05862	0.05711
0.43221	0.82657	0.68949	0.42978	0.40283	0.05758	0.05401
0.43254	0.82682	0.69347	0.42967	0.40243	0.05751	0.05379
0.43436	0.82842	0.72603	0.42906	0.40057	0.05717	0.05289
0.43556	0.82961	0.75187	0.4286	0.39975	0.05702	0.05257
0.4359	0.82992	0.75601	0.42847	0.39957	0.05699	0.05253
0.43618	0.83017	0.75877	0.42835	0.39945	0.05696	0.0525
0.4379	0.83149	0.77435	0.42758	0.39899	0.05686	0.05262
0.43807	0.8316	0.77718	0.4275	0.39898	0.05685	0.05265
0.44086	0.83326	0.78211	0.42597	0.39928	0.05689	0.05376
0.44551	0.83561	0.7753	0.42344	0.40165	0.05754	0.05763
0.44858	0.83702	0.77095	0.4227	0.40417	0.05854	0.06141
0.44898	0.83719	0.77046	0.42265	0.40455	0.05873	0.06196
0.45261	0.83838	0.76798	0.42247	0.40839	0.06232	0.06769
0.45483	0.83858	0.77123	0.4226	0.41111	0.07281	0.07182
0.455	0.8386	0.77179	0.42261	0.41133	0.0737	0.07216
0.45616	0.83868	0.77718	0.42275	0.41287	0.07877	0.07456
0.45854	0.8388	0.78879	0.42315	0.41628	0.08658	0.08006
0.45972	0.83882	0.79194	0.42341	0.41808	0.08972	0.08317
0.45973	0.83882	0.79196	0.42342	0.4181	0.08975	0.0832
0.46388	0.83851	0.79768	0.42469	0.42521	0.09804	0.09796
0.46495	0.83829	0.79857	0.42509	0.42716	0.0994	0.1027
0.46522	0.83822	0.79877	0.4252	0.42765	0.09969	0.1039
0.47035	0.8358	0.80183	0.42754	0.43573	0.10158	0.12744
0.47331	0.83385	0.80331	0.42916	0.43855	0.10025	0.14283
0.47334	0.83383	0.80333	0.42918	0.43858	0.10023	0.14303
0.4746	0.83301	0.80395	0.42992	0.4394	0.09932	0.15035
0.47468	0.83296	0.80399	0.42997	0.43944	0.09926	0.15083
0.47615	0.83203	0.80471	0.43078	0.44017	0.09802	0.16066
0.48034	0.82949	0.80679	0.43157	0.44136	0.09379	0.21443
0.482	0.82848	0.80766	0.43139	0.44155	0.09189	0.31259
0.48203	0.82846	0.80768	0.43139	0.44156	0.09186	0.31286
0.48674	0.82538	0.81042	0.43038	0.44142	0.08601	0.28385
0.48705	0.82515	0.81063	0.4303	0.44138	0.08559	0.2804
0.48734	0.82493	0.81082	0.43022	0.44134	0.08521	0.27722
0.49216	0.82086	0.81426	0.42881	0.44012	0.07847	0.23699
0.49279	0.82038	0.81464	0.42861	0.43989	0.07754	0.23366
0.49412	0.81949	0.81523	0.42817	0.43933	0.07551	0.22684
0.49737	0.81793	0.81449	0.42702	0.4376	0.07028	0.20853
0.49871	0.81742	0.81299	0.42651	0.4367	0.06799	0.19864
0.4999	0.81701	0.81124	0.42604	0.4358	0.06587	0.18654
0.49992	0.817	0.81121	0.42603	0.43578	0.06584	0.1863
0.50266	0.81613	0.80692	0.42485	0.43331	0.06072	0.10434
0.50452	0.81559	0.80463	0.42395	0.43132	0.05706	0.07012
0.50463	0.81556	0.80453	0.4239	0.4312	0.05684	0.06861
0.50667	0.81498	0.80354	0.42276	0.4287	0.05286	0.0456
0.50888	0.81441	0.80473	0.4213	0.42565	0.04937	0.02989
0.5135	0.81359	0.81216	0.41712	0.41827	0.04685	0.02434
0.51481	0.81353	0.81474	0.41563	0.41601	0.04717	0.02637
0.51592	0.81358	0.8169	0.41429	0.41405	0.0477	0.02855
0.51651	0.81366	0.818	0.41358	0.413	0.04806	0.02981
0.5172	0.81381	0.81921	0.41276	0.41179	0.04853	0.03135
0.52265	0.81678	0.82663	0.40754	0.40277	0.05366	0.04469
0.52333	0.81721	0.82734	0.4071	0.4018	0.05441	0.0464
0.52708	0.81926	0.83077	0.40555	0.39739	0.05882	0.05586
0.52783	0.81964	0.83139	0.4054	0.39674	0.05973	0.05774
0.53054	0.821	0.83348	0.40521	0.39513	0.06302	0.06446
0.53138	0.82143	0.83408	0.40525	0.39488	0.06401	0.06652
0.53347	0.82252	0.83548	0.40549	0.39471	0.06634	0.07156
0.53841	0.82518	0.8383	0.40688	0.39635	0.07148	0.08308
0.54601	0.82847	0.84124	0.4114	0.40262	0.08177	0.09912
0.54624	0.82855	0.84131	0.4116	0.40286	0.08207	0.09957
0.54678	0.82872	0.84145	0.4121	0.40344	0.08276	0.1006
0.54688	0.82875	0.84148	0.41219	0.40354	0.08288	0.10079
0.54867	0.82922	0.8419	0.41417	0.4056	0.08509	0.1041
0.55555	0.83011	0.84287	0.42687	0.41751	0.09199	0.11462
0.55667	0.83014	0.84293	0.42885	0.42096	0.0928	0.11591
0.55681	0.83014	0.84294	0.42907	0.42144	0.09289	0.11606
0.56115	0.83001	0.8429	0.43426	0.43706	0.09469	0.11934
0.56202	0.82995	0.84283	0.43499	0.43948	0.09473	0.11967
0.56581	0.82948	0.8423	0.43734	0.44723	0.09338	0.11966
0.56858	0.82894	0.84156	0.43821	0.45063	0.09086	0.11802
0.57043	0.82846	0.84085	0.43839	0.45202	0.08855	0.11605
0.5717	0.82807	0.84023	0.43831	0.45261	0.08673	0.11426
0.57426	0.82714	0.83861	0.43768	0.453	0.08272	0.10941
0.57725	0.82592	0.836	0.43622	0.45245	0.07826	0.10142
0.57749	0.82582	0.83576	0.43608	0.45237	0.07793	0.10065
0.58132	0.82424	0.83132	0.43322	0.4505	0.07339	0.08384
0.58258	0.82373	0.82979	0.43209	0.44969	0.07213	0.07649
0.58308	0.82353	0.8292	0.43163	0.44935	0.07166	0.07389
0.58525	0.82269	0.82677	0.42948	0.44774	0.06968	0.06442
0.58899	0.82138	0.82331	0.42543	0.44458	0.06649	0.05393
0.59111	0.82077	0.82173	0.42298	0.44264	0.06475	0.05053
0.59209	0.82053	0.82107	0.42181	0.44171	0.06396	0.04948
0.59336	0.8203	0.82029	0.42029	0.44048	0.06294	0.04857
0.5948	0.82012	0.81946	0.41852	0.43905	0.0618	0.04812
0.59882	0.82024	0.81751	0.41346	0.43483	0.05932	0.04947
0.60046	0.82047	0.81686	0.41138	0.43302	0.05886	0.05078
0.60218	0.82076	0.81629	0.40923	0.43106	0.0587	0.05248
0.60811	0.82216	0.8154	0.40281	0.42367	0.0596	0.06012
0.60827	0.82221	0.81541	0.40268	0.42345	0.05964	0.06035
0.6093	0.82253	0.81555	0.40189	0.422	0.05994	0.06186
0.61059	0.82298	0.81591	0.40108	0.42008	0.06037	0.06379
0.61398	0.82432	0.81798	0.39976	0.41411	0.06174	0.06891
0.61495	0.82473	0.81886	0.39954	0.41212	0.06221	0.07033
0.61796	0.82598	0.822	0.39903	0.40543	0.06395	0.07453
0.61909	0.82643	0.82315	0.39887	0.40295	0.06475	0.076
0.61981	0.82671	0.82386	0.39876	0.40141	0.06532	0.07693
0.62423	0.82828	0.82776	0.39811	0.39368	0.0697	0.08287
0.62432	0.82831	0.82783	0.3981	0.39357	0.0698	0.08301
0.62675	0.82903	0.8297	0.3978	0.3908	0.07278	0.08861
0.62925	0.82966	0.83145	0.39762	0.38898	0.07608	0.09712
0.63215	0.83023	0.83325	0.39768	0.38808	0.07986	0.10577
0.63236	0.83027	0.83337	0.3977	0.38806	0.08012	0.10624
0.6334	0.83042	0.83395	0.39786	0.38806	0.08141	0.10826
0.6391	0.83074	0.8363	0.40091	0.38994	0.08712	0.11051
0.64176	0.8305	0.83683	0.40298	0.39169	0.08864	0.10768
0.64269	0.83034	0.83691	0.40362	0.39242	0.08893	0.10634
0.64298	0.83028	0.83693	0.40381	0.39265	0.08898	0.1059
0.64512	0.82971	0.83688	0.40514	0.39457	0.08896	0.10225
0.65258	0.82616	0.83478	0.40993	0.40406	0.08315	0.0869
0.65422	0.82516	0.83407	0.41128	0.4071	0.08086	0.08334
0.6562	0.82405	0.83317	0.41326	0.41187	0.07768	0.07907
0.65632	0.82399	0.83312	0.41338	0.4122	0.07749	0.07883
0.65669	0.8238	0.83295	0.41382	0.41334	0.07685	0.07803
0.65738	0.82346	0.83263	0.41468	0.41567	0.07567	0.07659
0.66005	0.82208	0.83143	0.41865	0.42889	0.07176	0.07131
0.66006	0.82207	0.83143	0.41866	0.42894	0.07175	0.0713
0.66599	0.81877	0.82845	0.4282	0.44588	0.06779	0.06218
0.66624	0.81864	0.8283	0.42848	0.44613	0.06769	0.0619
0.6669	0.8183	0.82787	0.42916	0.44671	0.06743	0.06119
0.66768	0.8179	0.82733	0.42981	0.44723	0.06714	0.06045
0.67289	0.81562	0.82284	0.43125	0.44813	0.06557	0.05767
0.67382	0.81531	0.82218	0.43114	0.44795	0.06534	0.05755
0.676	0.81474	0.82096	0.43061	0.44724	0.06485	0.05765
0.67923	0.81433	0.8198	0.42936	0.44551	0.06426	0.05855
0.68235	0.81448	0.81913	0.4278	0.44313	0.06383	0.06008
0.68496	0.81504	0.81884	0.42633	0.44063	0.06359	0.06174
0.69052	0.81741	0.81907	0.42282	0.43427	0.06352	0.06612
0.69121	0.81779	0.81918	0.42235	0.43342	0.06357	0.06673
0.69495	0.82004	0.82018	0.41969	0.42872	0.06405	0.07022
0.69588	0.82063	0.82054	0.41899	0.42756	0.06424	0.07113
0.69962	0.82305	0.82242	0.41605	0.42311	0.06529	0.07501
0.70022	0.82345	0.8228	0.41555	0.42245	0.0655	0.07569
0.70448	0.82623	0.82657	0.41178	0.41844	0.06745	0.08119
0.7082	0.82863	0.83213	0.40817	0.41594	0.06985	0.08792
0.70836	0.82873	0.83232	0.408	0.41585	0.06997	0.08829
0.70972	0.8296	0.83362	0.40661	0.41516	0.07107	0.09172
0.71284	0.83149	0.83503	0.40336	0.41388	0.07447	0.10295
0.7132	0.8317	0.83511	0.40299	0.41376	0.07496	0.10454
0.71441	0.83238	0.83529	0.40175	0.41335	0.07672	0.11021
0.71657	0.83348	0.83541	0.39976	0.41271	0.08007	0.1199
