t	u	v	x	y
13.3642	-0.328195	0.127839	0.127839	0.127839
13.7303	-0.312015	0.125726	0.125726	0.125726
14.0964	-0.293653	0.123841	0.123841	0.123841
14.4626	-0.27319	0.122212	0.122212	0.122212
15.1444	-0.230046	0.119948	0.119948	0.119948
15.8263	-0.180979	0.118817	0.118817	0.118817
16.5081	-0.12693	0.118953	0.118953	0.118953
16.9967	-0.0868502	0.119884	0.119884	0.119884
17.3697	-0.0572493	0.121065	0.121065	0.121065
17.4923	-0.0481739	0.121539	0.121539	0.121539
17.615	-0.0396362	0.122052	0.122052	0.122052
17.7376	-0.0318143	0.122601	0.122601	0.122601
17.8602	-0.024962	0.123183	0.123183	0.123183
17.9829	-0.0193334	0.123791	0.123791	0.123791
18.2797	-0.0122535	0.125338	0.125338	0.125338
18.3566	-0.0121907	0.125748	0.125748	0.125748
18.4335	-0.0128828	0.126156	0.126156	0.126156
18.5104	-0.0143358	0.126562	0.126562	0.126562
18.5874	-0.0165209	0.126962	0.126962	0.126962
18.6643	-0.0193821	0.127356	0.127356	0.127356
18.7692	-0.0242759	0.127878	0.127878	0.127878
18.8741	-0.0301756	0.12838	0.12838	0.12838
18.979	-0.0369104	0.128858	0.128858	0.128858
19.084	-0.0443281	0.129309	0.129309	0.129309
19.1889	-0.0522914	0.129731	0.129731	0.129731
19.402	-0.0696631	0.130492	0.130492	0.130492
19.6151	-0.0879946	0.131116	0.131116	0.131116
19.8283	-0.106794	0.131597	0.131597	0.131597
20.0414	-0.125569	0.131934	0.131934	0.131934
20.2545	-0.144093	0.132127	0.132127	0.132127
20.527	-0.167059	0.13217	0.13217	0.13217
20.7994	-0.188901	0.131992	0.131992	0.131992
21.0719	-0.209454	0.131607	0.131607	0.131607
21.3444	-0.228447	0.131028	0.131028	0.131028
21.6168	-0.245772	0.13027	0.13027	0.13027
22.0248	-0.268481	0.128839	0.128839	0.128839
22.4328	-0.287139	0.127104	0.127104	0.127104
22.8407	-0.301672	0.125125	0.125125	0.125125
23.2487	-0.312135	0.122962	0.122962	0.122962
23.6567	-0.318654	0.120675	0.120675	0.120675
24.1159	-0.321483	0.118022	0.118022	0.118022
24.4247	-0.320826	0.116228	0.116228	0.116228
24.7336	-0.31823	0.114453	0.114453	0.114453
25.0425	-0.313807	0.112716	0.112716	0.112716
25.3513	-0.307644	0.111038	0.111038	0.111038
25.6602	-0.299863	0.109438	0.109438	0.109438
26.1184	-0.285465	0.107246	0.107246	0.107246
26.5766	-0.26791	0.105317	0.105317	0.105317
27.0348	-0.247511	0.103701	0.103701	0.103701
27.493	-0.224525	0.102444	0.102444	0.102444
27.9512	-0.199262	0.101585	0.101585	0.101585
28.4094	-0.172117	0.101159	0.101159	0.101159
29.2144	-0.121901	0.101527	0.101527	0.101527
29.4904	-0.104914	0.10199	0.10199	0.10199
29.7664	-0.0887335	0.102619	0.102619	0.102619
30.0424	-0.07398	0.103402	0.103402	0.103402
30.3184	-0.0616962	0.10432	0.10432	0.10432
30.5944	-0.0529743	0.105343	0.105343	0.105343
30.8704	-0.0487827	0.106431	0.106431	0.106431
31.1765	-0.0503231	0.107655	0.107655	0.107655
31.2833	-0.0523634	0.108073	0.108073	0.108073
31.39	-0.0551288	0.108481	0.108481	0.108481
31.4967	-0.0586567	0.108878	0.108878	0.108878
31.6034	-0.0628263	0.109259	0.109259	0.109259
31.7101	-0.0675245	0.109624	0.109624	0.109624
31.9827	-0.0816772	0.110465	0.110465	0.110465
32.2553	-0.0981002	0.111155	0.111155	0.111155
32.5279	-0.11583	0.111678	0.111678	0.111678
32.8004	-0.134141	0.112022	0.112022	0.112022
33.073	-0.152488	0.112186	0.112186	0.112186
33.4628	-0.177941	0.112113	0.112113	0.112113
33.8525	-0.201767	0.111693	0.111693	0.111693
34.2422	-0.223371	0.110953	0.110953	0.110953
34.632	-0.242273	0.109928	0.109928	0.109928
35.0217	-0.258231	0.108659	0.108659	0.108659
35.4507	-0.272248	0.107029	0.107029	0.107029
35.8796	-0.282467	0.105211	0.105211	0.105211
36.3086	-0.288897	0.103266	0.103266	0.103266
36.7375	-0.29165	0.101249	0.101249	0.101249
37.0929	-0.291255	0.0995647	0.0995647	0.0995647
37.4483	-0.288534	0.0979005	0.0979005	0.0979005
37.8036	-0.283596	0.0962853	0.0962853	0.0962853
38.159	-0.276569	0.0947468	0.0947468	0.0947468
38.5143	-0.267559	0.093311	0.093311	0.093311
39.0694	-0.249787	0.0913317	0.0913317	0.0913317
39.6246	-0.227894	0.0897496	0.0897496	0.0897496
40.1797	-0.202347	0.0886423	0.0886423	0.0886423
40.7348	-0.17371	0.0880773	0.0880773	0.0880773
41.2899	-0.142747	0.0881091	0.0881091	0.0881091
41.8451	-0.110836	0.0887712	0.0887712	0.0887712
42.4234	-0.0793591	0.0901252	0.0901252	0.0901252
42.8668	-0.0596042	0.0915756	0.0915756	0.0915756
43.3102	-0.0475589	0.0932856	0.0932856	0.0932856
43.6503	-0.0458115	0.0946817	0.0946817	0.0946817
43.887	-0.0489126	0.0956452	0.0956452	0.0956452
44.1236	-0.0552873	0.0965676	0.0965676	0.0965676
44.3603	-0.0644936	0.0974229	0.0974229	0.0974229
44.5969	-0.0759285	0.0981898	0.0981898	0.0981898
44.8336	-0.0889753	0.098852	0.098852	0.098852
45.2753	-0.115762	0.0997767	0.0997767	0.0997767
45.717	-0.143603	0.100264	0.100264	0.100264
46.1587	-0.17077	0.100309	0.100309	0.100309
46.6004	-0.195852	0.0999366	0.0999366	0.0999366
47.0422	-0.218222	0.0991847	0.0991847	0.0991847
47.4839	-0.23728	0.0981029	0.0981029	0.0981029
47.9256	-0.252684	0.0967468	0.0967468	0.0967468
48.3673	-0.264311	0.0951755	0.0951755	0.0951755
48.8249	-0.272337	0.0933853	0.0933853	0.0933853
49.2824	-0.276304	0.0914965	0.0914965	0.0914965
49.74	-0.276338	0.0895748	0.0895748	0.0895748
50.1139	-0.273581	0.0880244	0.0880244	0.0880244
50.4878	-0.268435	0.0865274	0.0865274	0.0865274
50.8617	-0.261012	0.0851152	0.0851152	0.0851152
51.2356	-0.251438	0.0838174	0.0838174	0.0838174
51.6095	-0.239828	0.0826624	0.0826624	0.0826624
52.1865	-0.218191	0.0812214	0.0812214	0.0812214
52.7634	-0.192444	0.0802733	0.0802733	0.0802733
53.3404	-0.163141	0.0798979	0.0798979	0.0798979
53.9173	-0.131036	0.0801615	0.0801615	0.0801615
54.4943	-0.0973944	0.0811099	0.0811099	0.0811099
54.7098	-0.0852231	0.081643	0.081643	0.081643
54.8798	-0.0757543	0.08213	0.08213	0.08213
55.0497	-0.0665931	0.0826737	0.0826737	0.0826737
