t	u	v	x	y
101.04	-0.274476	0.0816552	0.0816552	0.0816552
101.476	-0.265237	0.0799276	0.0799276	0.0799276
101.912	-0.252764	0.0783707	0.0783707	0.0783707
102.751	-0.220003	0.0760364	0.0760364	0.0760364
103.59	-0.176379	0.0748559	0.0748559	0.0748559
104.686	-0.103675	0.0755852	0.0755852	0.0755852
106.038	0.0109414	0.0810047	0.0810047	0.0810047
106.189	0.0250951	0.0819702	0.0819702	0.0819702
106.339	0.0393023	0.0830127	0.0830127	0.0830127
106.544	0.0576627	0.0845514	0.0845514	0.0845514
106.77	0.0722794	0.0863839	0.0863839	0.0863839
106.962	0.0704898	0.0879923	0.0879923	0.0879923
107.025	0.0660742	0.0885121	0.0885121	0.0885121
107.088	0.060768	0.0890206	0.0890206	0.0890206
107.198	0.0505113	0.0898778	0.0898778	0.0898778
107.356	0.0352631	0.0910288	0.0910288	0.0910288
107.514	0.0197827	0.0920924	0.0920924	0.0920924
107.759	-0.00437536	0.0935745	0.0935745	0.0935745
108.005	-0.0283343	0.0948438	0.0948438	0.0948438
108.517	-0.0767275	0.0968218	0.0968218	0.0968218
109.295	-0.143745	0.0981967	0.0981967	0.0981967
110.074	-0.199742	0.097839	0.097839	0.097839
110.874	-0.243712	0.0960246	0.0960246	0.0960246
111.697	-0.272969	0.093075	0.093075	0.093075
112.519	-0.286579	0.0894918	0.0894918	0.0894918
113.168	-0.286803	0.0865123	0.0865123	0.0865123
113.517	-0.283328	0.0849373	0.0849373	0.0849373
113.867	-0.277603	0.08342	0.08342	0.08342
114.505	-0.261246	0.0808918	0.0808918	0.0808918
115.143	-0.238046	0.0788186	0.0788186	0.0788186
115.977	-0.197875	0.0770509	0.0770509	0.0770509
117.007	-0.133537	0.0767891	0.0767891	0.0767891
118.037	-0.0523821	0.0792207	0.0792207	0.0792207
118.707	0.0111407	0.0825659	0.0825659	0.0825659
119.016	0.0445024	0.0846546	0.0846546	0.0846546
119.218	0.0690015	0.086222	0.086222	0.086222
119.31	0.0823289	0.0870088	0.0870088	0.0870088
119.403	0.100466	0.0878467	0.0878467	0.0878467
119.431	0.108764	0.0881117	0.0881117	0.0881117
119.459	0.121416	0.0883869	0.0883869	0.0883869
119.484	0.143131	0.0886471	0.0886471	0.0886471
119.499	0.172407	0.0888217	0.0888217	0.0888217
119.509	0.213594	0.088949	0.088949	0.088949
119.517	0.283678	0.0890629	0.0890629	0.0890629
119.523	0.399813	0.0891672	0.0891672	0.0891672
119.528	0.609382	0.089289	0.089289	0.089289
119.532	0.80549	0.0893998	0.0893998	0.0893998
119.535	0.945482	0.0895332	0.0895332	0.0895332
119.538	0.992963	0.089661	0.089661	0.089661
119.541	1.00554	0.0897743	0.0897743	0.0897743
119.544	1.00967	0.0899074	0.0899074	0.0899074
119.548	1.01058	0.0900601	0.0900601	0.0900601
119.555	1.01044	0.0903753	0.0903753	0.0903753
119.567	1.00998	0.0908531	0.0908531	0.0908531
119.626	1.00753	0.0933473	0.0933473	0.0933473
119.73	1.00304	0.0977142	0.0977142	0.0977142
119.879	0.996082	0.103931	0.103931	0.103931
120.091	0.984752	0.112727	0.112727	0.112727
120.367	0.966428	0.124006	0.124006	0.124006
120.643	0.941537	0.135073	0.135073	0.135073
121.152	0.8534	0.15458	0.15458	0.15458
121.305	0.7919	0.160006	0.160006	0.160006
121.351	0.759289	0.161552	0.161552	0.161552
