t	u	v	x	y
22.2378	-0.169298	-0.0596515	0.13284	0.108349
22.5168	-0.152465	-0.0895752	0.157487	0.0669823
22.8328	-0.125476	-0.113144	0.170463	0.0142999
22.9465	-0.113964	-0.118223	0.170927	-0.00518857
23.0602	-0.101851	-0.121287	0.169218	-0.0245178
23.1739	-0.0893148	-0.122247	0.165352	-0.0434673
23.2876	-0.0764992	-0.121043	0.159366	-0.0618233
23.4013	-0.0636733	-0.11765	0.151335	-0.0793716
23.5508	-0.0474693	-0.109926	0.137836	-0.100884
23.7004	-0.0326577	-0.0987082	0.121276	-0.120203
23.85	-0.0198093	-0.0843701	0.102014	-0.136929
23.9996	-0.00943264	-0.0674139	0.0804651	-0.15071
24.0956	-0.00412193	-0.0554114	0.0656391	-0.157862
24.1593	-0.00117437	-0.0470742	0.0554706	-0.161823
24.1801	-0.000301502	-0.0442768	0.052078	-0.162986
24.201	0.000524651	-0.0414536	0.0486624	-0.164079
24.2219	0.00130201	-0.0386055	0.0452249	-0.165102
24.2428	0.00202976	-0.0357339	0.0417669	-0.166054
24.2855	0.00336628	-0.0297988	0.0346419	-0.16778
24.3282	0.00450193	-0.0237847	0.0274499	-0.169205
24.3709	0.00543915	-0.0177042	0.0202035	-0.170326
24.4136	0.0061809	-0.0115698	0.0129156	-0.171141
24.5166	0.00718223	0.00338239	-0.00476307	-0.17183
24.6196	0.0071083	0.018408	-0.0224212	-0.170696
24.7226	0.006009	0.033343	-0.0398694	-0.167735
24.8256	0.00392337	0.048031	-0.0569193	-0.162963
24.9286	0.000895119	0.0623232	-0.073386	-0.156421
25.0752	-0.00491033	0.0817039	-0.0954605	-0.144192
25.2218	-0.0122908	0.0996326	-0.115506	-0.128765
25.3684	-0.0210522	0.115783	-0.133078	-0.110478
25.5149	-0.0309841	0.129874	-0.147786	-0.0897486
25.6615	-0.0418567	0.141674	-0.159307	-0.0670602
25.8987	-0.0608361	0.155504	-0.170637	-0.0275655
26.1359	-0.080729	0.162397	-0.1724	0.0133399
26.3731	-0.100674	0.16217	-0.164517	0.0533199
26.6103	-0.119854	0.154953	-0.147468	0.0901683
26.8475	-0.137564	0.141149	-0.122237	0.121919
27.1143	-0.15481	0.118567	-0.0858338	0.149461
27.3811	-0.168411	0.0897689	-0.0434121	0.166559
27.6479	-0.177649	0.0563742	0.00204067	0.171963
27.9146	-0.181754	0.0202924	0.0473089	0.165161
28.1814	-0.180052	-0.0162912	0.0891637	0.146506
28.4482	-0.172212	-0.0509825	0.124597	0.117296
28.7512	-0.155598	-0.0849015	0.153865	0.0741161
29.0542	-0.131023	-0.10945	0.168932	0.024367
29.159	-0.120935	-0.115112	0.170546	0.00652646
29.2638	-0.110212	-0.119137	0.170289	-0.0113346
29.3685	-0.0989149	-0.121432	0.168173	-0.0290304
29.4733	-0.0872468	-0.121922	0.16422	-0.0463736
29.5781	-0.0755068	-0.120568	0.158475	-0.063183
29.6829	-0.0638528	-0.11737	0.151004	-0.0792883
29.8056	-0.0503585	-0.111308	0.140169	-0.0970492
29.9024	-0.0403464	-0.104828	0.130147	-0.110049
29.9991	-0.0311844	-0.0969527	0.118915	-0.122051
30.0958	-0.022837	-0.0878029	0.106576	-0.132953
30.1925	-0.0154463	-0.0775117	0.0932383	-0.142659
30.2892	-0.00912332	-0.0662253	0.0790237	-0.15108
30.3911	-0.00359697	-0.0534465	0.0632613	-0.158466
30.4929	0.000759072	-0.0399255	0.0468391	-0.164255
30.5947	0.0039503	-0.0258324	0.0299162	-0.168382
30.6767	0.00568829	-0.0141775	0.0160319	-0.170465
30.7432	0.00657763	-0.00459435	0.00467462	-0.171323
30.791	0.00694204	0.00234732	-0.00352277	-0.171475
30.8388	0.00707803	0.00930643	-0.0117176	-0.171234
30.8867	0.00698454	0.0162667	-0.0198912	-0.170601
30.9345	0.00666439	0.0232121	-0.0280249	-0.169573
31.0163	0.00561334	0.0350006	-0.0417779	-0.16691
31.0981	0.00394661	0.046622	-0.0552659	-0.163113
31.1629	0.00220782	0.0556662	-0.0657086	-0.159311
31.2277	0.000112271	0.0645242	-0.075883	-0.154822
31.2925	-0.00232708	0.0731617	-0.0857447	-0.149665
31.3573	-0.00509259	0.0815464	-0.0952512	-0.143859
31.4416	-0.00914976	0.0920346	-0.10703	-0.135369
31.526	-0.013693	0.101981	-0.118055	-0.12588
31.6103	-0.0186856	0.111325	-0.12824	-0.115464
31.6947	-0.0240843	0.120011	-0.137511	-0.104202
31.779	-0.029846	0.12799	-0.145798	-0.0921787
32.026	-0.0483745	0.146949	-0.163936	-0.0535143
32.2731	-0.0685496	0.158721	-0.172107	-0.0116656
32.5201	-0.0893545	0.162865	-0.169817	0.0307331
32.7671	-0.109824	0.159323	-0.15724	0.0710862
33.0142	-0.129053	0.148393	-0.135182	0.107013
33.2735	-0.147172	0.129625	-0.103328	0.137725
33.5328	-0.162162	0.104395	-0.0646379	0.159361
33.7921	-0.17333	0.0740453	-0.0216584	0.170487
33.995	-0.179017	0.0477483	0.0131368	0.171262
34.1979	-0.18161	0.0201863	0.0473753	0.16497
34.4008	-0.180996	-0.00768228	0.0796364	0.151821
34.6037	-0.176587	-0.0347883	0.10858	0.132337
