t	u	v	x	y
14.4805	0.0205069	0.106215	0.106215	0.106215
14.6077	0.014535	0.111084	0.111084	0.111084
14.7813	0.00628564	0.117177	0.117177	0.117177
14.9549	-0.00226514	0.122561	0.122561	0.122561
15.1946	-0.0144623	0.128751	0.128751	0.128751
15.4344	-0.0269184	0.133463	0.133463	0.133463
16.1326	-0.0632478	0.138663	0.138663	0.138663
16.8309	-0.0974457	0.131473	0.131473	0.131473
17.6736	-0.132825	0.107985	0.107985	0.107985
18.6607	-0.162554	0.0641289	0.0641289	0.0641289
19.4536	-0.174128	0.0207735	0.0207735	0.0207735
20.2465	-0.17161	-0.0244744	-0.0244744	-0.0244744
21.0739	-0.151005	-0.067055	-0.067055	-0.067055
21.9359	-0.108072	-0.0978223	-0.0978223	-0.0978223
22.7978	-0.0444792	-0.105518	-0.105518	-0.105518
23.0798	-0.0208183	-0.101666	-0.101666	-0.101666
23.2713	-0.00473712	-0.097141	-0.097141	-0.097141
23.3725	0.00349017	-0.094137	-0.094137	-0.094137
23.4737	0.0114106	-0.0907244	-0.0907244	-0.0907244
23.7078	0.0277471	-0.0813784	-0.0813784	-0.0813784
23.942	0.0402082	-0.0703365	-0.0703365	-0.0703365
24.1903	0.0498524	-0.057263	-0.057263	-0.057263
24.4306	0.0572745	-0.0435997	-0.0435997	-0.0435997
24.621	0.0607766	-0.0322534	-0.0322534	-0.0322534
24.7492	0.0654418	-0.0243845	-0.0243845	-0.0243845
24.7877	0.0682879	-0.0219465	-0.0219465	-0.0219465
24.8262	0.0718757	-0.0194457	-0.0194457	-0.0194457
24.8704	0.0758255	-0.0164805	-0.0164805	-0.0164805
24.9034	0.0747381	-0.0142418	-0.0142418	-0.0142418
24.933	0.0620386	-0.0123221	-0.0123221	-0.0123221
24.9499	0.0488341	-0.0113475	-0.0113475	-0.0113475
24.9651	0.0383212	-0.0105598	-0.0105598	-0.0105598
24.9804	0.0330288	-0.00983403	-0.00983403	-0.00983403
24.9994	0.0331942	-0.00895312	-0.00895312	-0.00895312
25.0155	0.0368	-0.00819113	-0.00819113	-0.00819113
25.0316	0.0424631	-0.00739175	-0.00739175	-0.00739175
25.0546	0.0539001	-0.00615103	-0.00615103	-0.00615103
25.0792	0.0749313	-0.00463135	-0.00463135	-0.00463135
25.0918	0.0978265	-0.00371752	-0.00371752	-0.00371752
25.0996	0.128821	-0.00305124	-0.00305124	-0.00305124
25.1047	0.1741	-0.00251883	-0.00251883	-0.00251883
25.1087	0.256905	-0.00198244	-0.00198244	-0.00198244
25.112	0.437232	-0.00132438	-0.00132438	-0.00132438
25.1141	0.664164	-0.000689336	-0.000689336	-0.000689336
25.1155	0.827206	-0.000143506	-0.000143506	-0.000143506
25.1168	0.934032	0.000496797	0.000496797	0.000496797
25.1182	0.978101	0.00118736	0.00118736	0.00118736
25.1199	0.993532	0.00208532	0.00208532	0.00208532
25.1216	0.996688	0.0029892	0.0029892	0.0029892
25.1239	0.997085	0.0041879	0.0041879	0.0041879
25.1267	0.995734	0.00567923	0.00567923	0.00567923
25.1295	0.99426	0.00716841	0.00716841	0.00716841
25.1514	0.982527	0.0186262	0.0186262	0.0186262
25.1733	0.970319	0.0299533	0.0299533	0.0299533
25.2906	0.893712	0.088212	0.088212	0.088212
25.3669	0.823486	0.12327	0.12327	0.12327
25.4021	0.775945	0.138415	0.138415	0.138415
25.4249	0.728965	0.147716	0.147716	0.147716
25.4355	0.693689	0.151793	0.151793	0.151793
25.4439	0.644359	0.154862	0.154862	0.154862
25.4483	0.595517	0.156367	0.156367	0.156367
25.4511	0.54057	0.157251	0.157251	0.157251
25.4532	0.470331	0.157846	0.157846	0.157846
25.4548	0.388152	0.158217	0.158217	0.158217
25.456	0.290163	0.158458	0.158458	0.158458
25.4572	0.154119	0.158629	0.158629	0.158629
25.4578	0.0715156	0.158683	0.158683	0.158683
