t	u	v	x	y
1.42005	0.982467	-0.0406829	-0.0406829	-0.0406829
1.42696	0.972495	-0.0296534	-0.0296534	-0.0296534
1.4324	0.964421	-0.0210415	-0.0210415	-0.0210415
1.43691	0.957582	-0.0139405	-0.0139405	-0.0139405
1.44055	0.951967	-0.00824546	-0.00824546	-0.00824546
1.44333	0.947622	-0.00392081	-0.00392081	-0.00392081
1.44523	0.944613	-0.000969417	-0.000969417	-0.000969417
1.4459	0.943544	7.16148e-05	7.16148e-05	7.16148e-05
1.44657	0.942471	0.00111151	0.00111151	0.00111151
1.44724	0.941394	0.00215032	0.00215032	0.00215032
1.4505	0.936118	0.00717241	0.00717241	0.00717241
1.45375	0.93075	0.012169	0.012169	0.012169
1.45701	0.92529	0.0171393	0.0171393	0.0171393
1.46026	0.919732	0.0220827	0.0220827	0.0220827
1.47676	0.889813	0.0467022	0.0467022	0.0467022
1.49327	0.856201	0.0705311	0.0705311	0.0705311
1.50977	0.816155	0.093442	0.093442	0.093442
1.52212	0.778416	0.109872	0.109872	0.109872
1.53068	0.744782	0.120792	0.120792	0.120792
1.53647	0.715246	0.127915	0.127915	0.127915
1.54057	0.688028	0.132774	0.132774	0.132774
1.5436	0.66164	0.136248	0.136248	0.136248
1.54591	0.635172	0.138815	0.138815	0.138815
1.54776	0.607658	0.140779	0.140779	0.140779
1.54923	0.57903	0.142289	0.142289	0.142289
1.55043	0.548913	0.143469	0.143469	0.143469
1.55164	0.509439	0.144586	0.144586	0.144586
1.55247	0.474455	0.145312	0.145312	0.145312
1.5533	0.43029	0.145989	0.145989	0.145989
1.55395	0.388022	0.14647	0.14647	0.14647
1.55459	0.336592	0.146906	0.146906	0.146906
1.55524	0.274286	0.147287	0.147287	0.147287
1.55588	0.200245	0.147602	0.147602	0.147602
1.55639	0.133984	0.147798	0.147798	0.147798
1.55669	0.092315	0.14789	0.14789	0.14789
1.55691	0.0608335	0.147945	0.147945	0.147945
1.55712	0.0313234	0.147985	0.147985	0.147985
1.55722	0.017762	0.148001	0.148001	0.148001
1.55728	0.00901496	0.148011	0.148011	0.148011
1.55732	0.00340673	0.148016	0.148016	0.148016
1.55734	0.000159339	0.14802	0.14802	0.14802
1.55736	-0.00308007	0.148023	0.148023	0.148023
1.55739	-0.00631107	0.148026	0.148026	0.148026
1.55746	-0.0165575	0.148034	0.148034	0.148034
1.55753	-0.0267004	0.148042	0.148042	0.148042
1.55761	-0.0367218	0.148048	0.148048	0.148048
1.55768	-0.0466052	0.148054	0.148054	0.148054
1.55793	-0.0791156	0.148064	0.148064	0.148064
1.55819	-0.109295	0.148062	0.148062	0.148062
1.55844	-0.136722	0.14805	0.14805	0.14805
1.55869	-0.161137	0.148027	0.148027	0.148027
1.55894	-0.182453	0.147996	0.147996	0.147996
1.55954	-0.221201	0.147894	0.147894	0.147894
1.56014	-0.245907	0.147764	0.147764	0.147764
1.56069	-0.259723	0.147629	0.147629	0.147629
1.56124	-0.26821	0.147486	0.147486	0.147486
1.56178	-0.273328	0.147338	0.147338	0.147338
1.56233	-0.276295	0.147186	0.147186	0.147186
1.56288	-0.277885	0.147032	0.147032	0.147032
1.5636	-0.278733	0.146828	0.146828	0.146828
1.56433	-0.278864	0.146623	0.146623	0.146623
1.56505	-0.278643	0.146418	0.146418	0.146418
1.56577	-0.278216	0.146213	0.146213	0.146213
1.5665	-0.277663	0.146009	0.146009	0.146009
1.56806	-0.276333	0.145571	0.145571	0.145571
1.56962	-0.274996	0.145135	0.145135	0.145135
1.57119	-0.273601	0.144703	0.144703	0.144703
1.57275	-0.272186	0.144274	0.144274	0.144274
1.57431	-0.270809	0.143849	0.143849	0.143849
1.57862	-0.267007	0.142692	0.142692	0.142692
1.58293	-0.263221	0.14156	0.14156	0.14156
1.58725	-0.259344	0.140452	0.140452	0.140452
1.59156	-0.255406	0.13937	0.13937	0.13937
1.59587	-0.251458	0.138313	0.138313	0.138313
1.60752	-0.240627	0.135585	0.135585	0.135585
1.61917	-0.229537	0.13305	0.13305	0.13305
1.63082	-0.218106	0.130711	0.130711	0.130711
1.64247	-0.206307	0.128575	0.128575	0.128575
1.65412	-0.194149	0.126648	0.126648	0.126648
1.69837	-0.143575	0.121444	0.121444	0.121444
1.70828	-0.130944	0.120741	0.120741	0.120741
1.71818	-0.117585	0.120232	0.120232	0.120232
1.72809	-0.103452	0.119928	0.119928	0.119928
1.738	-0.0883341	0.119842	0.119842	0.119842
1.74981	-0.0686066	0.120049	0.120049	0.120049
1.75775	-0.0539726	0.120392	0.120392	0.120392
1.76383	-0.0417325	0.120777	0.120777	0.120777
1.7688	-0.0308631	0.121178	0.121178	0.121178
1.7727	-0.0216466	0.121551	0.121551	0.121551
1.7758	-0.0137614	0.121888	0.121888	0.121888
1.77821	-0.00726081	0.122175	0.122175	0.122175
1.77993	-0.0023745	0.122394	0.122394	0.122394
1.7811	0.00107456	0.122551	0.122551	0.122551
1.78226	0.00464451	0.122713	0.122713	0.122713
1.78343	0.0083461	0.122882	0.122882	0.122882
