t	u	v	x	y
40.5168	-0.181633	0.0151771	0.0532557	0.162892
40.9946	-0.172866	-0.0485034	0.122106	0.11952
41.4968	-0.141861	-0.100663	0.16442	0.0450927
42.0236	-0.0888494	-0.121807	0.164732	-0.0437842
42.5504	-0.0326899	-0.0980447	0.120495	-0.120201
42.6947	-0.0204049	-0.0842142	0.101933	-0.136251
42.839	-0.0102111	-0.068012	0.0812788	-0.149589
42.9744	-0.00289433	-0.0510282	0.0603297	-0.159378
43.101	0.00208011	-0.0340043	0.039728	-0.16596
43.2878	0.0061975	-0.00754933	0.00818718	-0.1709
43.5349	0.00615823	0.0282837	-0.0339358	-0.168341
43.7604	0.00108352	0.0600901	-0.0707823	-0.156934
43.9645	-0.00715967	0.0867897	-0.10114	-0.139542
44.1685	-0.0183649	0.1105	-0.127324	-0.116161
44.479	-0.0397826	0.139068	-0.156717	-0.0714659
44.7896	-0.0645932	0.156785	-0.17104	-0.0199179
45.1914	-0.0982804	0.161987	-0.165287	0.0484553
45.6845	-0.136683	0.141349	-0.122949	0.12027
46.1776	-0.165887	0.095329	-0.0515835	0.163643
46.7052	-0.181071	0.027989	0.0377676	0.167094
47.2328	-0.174404	-0.0429989	0.116642	0.124598
47.716	-0.146742	-0.0953905	0.160966	0.0551841
48.1269	-0.108421	-0.11916	0.169533	-0.0139466
48.5097	-0.0660118	-0.117739	0.152134	-0.0759597
48.8926	-0.0271767	-0.0924451	0.112844	-0.127032
49.1483	-0.00870207	-0.0645841	0.0770348	-0.151581
49.2718	-0.00230573	-0.0489307	0.0577921	-0.160088
49.3016	-0.00104278	-0.0449885	0.0530035	-0.161791
49.336	0.000304591	-0.0403586	0.0474011	-0.163586
49.3751	0.00167955	-0.0350188	0.0409659	-0.165396
49.4647	0.00420622	-0.0225278	0.0260035	-0.1686
49.6048	0.0064407	-0.00248415	0.00220802	-0.170928
49.7158	0.00677113	0.0136071	-0.0167433	-0.170407
49.8267	0.00589873	0.0296527	-0.0355193	-0.167776
50.0058	0.00208452	0.0549538	-0.064857	-0.159133
50.1848	-0.00444597	0.0788639	-0.092181	-0.145266
50.4239	-0.0168468	0.107446	-0.123982	-0.119364
50.7231	-0.0369952	0.135932	-0.15365	-0.0773121
51.0223	-0.0605368	0.15454	-0.169589	-0.0283326
51.5001	-0.100439	0.161441	-0.163749	0.0527275
51.978	-0.137438	0.140387	-0.121417	0.121468
52.4727	-0.166376	0.0937491	-0.0494048	0.164065
52.9842	-0.18093	0.0284351	0.0371711	0.167085
53.4958	-0.175034	-0.0404628	0.114153	0.126926
54.015	-0.145567	-0.0967861	0.161953	0.052636
54.5013	-0.0985572	-0.121152	0.167694	-0.0293902
54.9471	-0.0490875	-0.110375	0.138767	-0.0984385
55.3487	-0.0137708	-0.0743992	0.089315	-0.144811
55.563	-0.00184399	-0.0478526	0.0564666	-0.160772
55.5921	-0.000623676	-0.0439827	0.051771	-0.162399
55.6211	0.00049926	-0.0400637	0.0470317	-0.163891
55.6637	0.00198035	-0.0342325	0.0400075	-0.165834
55.7063	0.00326204	-0.028313	0.0329067	-0.167483
55.8711	0.00639822	-0.00484949	0.00499309	-0.171014
55.9257	0.00680039	0.00307044	-0.00435833	-0.171173
55.9803	0.00690565	0.0110101	-0.0137034	-0.17082
56.1088	0.00600871	0.0296086	-0.0354785	-0.167974
56.2373	0.00356082	0.0478839	-0.0567075	-0.162321
56.433	-0.00290774	0.0744807	-0.0872231	-0.148479
56.6288	-0.0123205	0.0987412	-0.114454	-0.128777
56.9833	-0.0352935	0.134237	-0.152023	-0.0808145
57.4967	-0.0765389	0.16085	-0.172018	0.00464543
58.0101	-0.118888	0.154692	-0.147637	0.0880656
58.5824	-0.157716	0.112257	-0.0766241	0.153158
59.1415	-0.178998	0.0451134	0.0162169	0.170132
59.6282	-0.178824	-0.0209891	0.0938279	0.142265
60.1149	-0.158248	-0.0796247	0.149276	0.0808918
60.6371	-0.113862	-0.117083	0.169554	-0.00491018
61.1949	-0.0526627	-0.111771	0.141336	-0.0935041
61.6272	-0.0144947	-0.0741576	0.0891503	-0.143993
61.6651	-0.0120056	-0.0697858	0.0836241	-0.1473
61.703	-0.00959501	-0.065281	0.0779791	-0.150403
61.7623	-0.0062171	-0.0579728	0.068922	-0.154837
61.8431	-0.00229839	-0.047583	0.0562058	-0.16002
61.9385	0.00135102	-0.0347626	0.0407019	-0.164833
62.0485	0.00431435	-0.0194209	0.0223398	-0.168558
62.1586	0.00599775	-0.00369617	0.0036779	-0.170269
62.3806	0.00565976	0.0283526	-0.0339667	-0.167457
62.6026	0.000722307	0.0595105	-0.0700588	-0.156305
